symbol,date,open,high,low,close,volume,"('date', '')","('open', 'VNM.VN')","('high', 'VNM.VN')","('low', 'VNM.VN')","('close', 'VNM.VN')","('volume', 'VNM.VN')"
VNM,2018-07-13,80830.0,81070.0,79610.0,79870.0,384360.0,,,,,,
VNM,2018-07-16,80310.0,80830.0,79610.0,80680.0,557460.0,,,,,,
VNM,2018-07-17,79970.0,80680.0,79910.0,80650.0,588420.0,,,,,,
VNM,2018-07-18,80680.0,81170.0,80450.0,81170.0,503880.0,,,,,,
VNM,2018-07-19,83100.0,83100.0,81170.0,81900.0,970590.0,,,,,,
VNM,2018-07-20,82010.0,82010.0,81260.0,81420.0,620700.0,,,,,,
VNM,2018-07-23,81170.0,82510.0,80780.0,81660.0,685300.0,,,,,,
VNM,2018-07-24,81550.0,82130.0,81320.0,81610.0,566120.0,,,,,,
VNM,2018-07-25,81660.0,81850.0,81610.0,81610.0,427050.0,,,,,,
VNM,2018-07-26,81610.0,82370.0,81170.0,82370.0,519640.0,,,,,,
VNM,2018-07-27,82130.0,82370.0,80960.0,81070.0,290680.0,,,,,,
VNM,2018-07-30,81170.0,81610.0,80600.0,80920.0,453180.0,,,,,,
VNM,2018-07-31,80680.0,81170.0,80210.0,80780.0,634220.0,,,,,,
VNM,2018-08-01,80680.0,80780.0,80010.0,80150.0,684770.0,,,,,,
VNM,2018-08-02,79870.0,80150.0,77650.0,79250.0,1590510.0,,,,,,
VNM,2018-08-03,79100.0,79100.0,77480.0,77610.0,1232510.0,,,,,,
VNM,2018-08-06,77800.0,77800.0,76610.0,76790.0,1238870.0,,,,,,
VNM,2018-08-07,76840.0,76840.0,73490.0,73490.0,2337260.0,,,,,,
VNM,2018-08-08,73000.0,75150.0,73000.0,74690.0,1267410.0,,,,,,
VNM,2018-08-09,75900.0,76750.0,74910.0,75410.0,770210.0,,,,,,
VNM,2018-08-10,75410.0,75780.0,74910.0,75500.0,908450.0,,,,,,
VNM,2018-08-13,75410.0,75410.0,74640.0,74950.0,1245500.0,,,,,,
VNM,2018-08-14,76360.0,76790.0,75780.0,75950.0,995480.0,,,,,,
VNM,2018-08-15,76130.0,77040.0,75980.0,76130.0,1081050.0,,,,,,
VNM,2018-08-16,75900.0,76190.0,74740.0,76190.0,1038700.0,,,,,,
VNM,2018-08-17,76360.0,76610.0,76130.0,76130.0,408930.0,,,,,,
VNM,2018-08-20,76360.0,77760.0,76190.0,76900.0,1290170.0,,,,,,
VNM,2018-08-21,77200.0,78310.0,77000.0,78310.0,664240.0,,,,,,
VNM,2018-08-22,78660.0,78710.0,77760.0,78310.0,640010.0,,,,,,
VNM,2018-08-23,78310.0,78410.0,78050.0,78410.0,410280.0,,,,,,
VNM,2018-08-24,78410.0,78410.0,77900.0,77900.0,453010.0,,,,,,
VNM,2018-08-27,78310.0,78310.0,76840.0,77000.0,1141160.0,,,,,,
VNM,2018-08-28,76900.0,76960.0,76360.0,76500.0,1057220.0,,,,,,
VNM,2018-08-29,76610.0,76660.0,75360.0,75690.0,1124120.0,,,,,,
VNM,2018-08-30,75690.0,75740.0,74690.0,75150.0,899040.0,,,,,,
VNM,2018-08-31,75410.0,76250.0,75260.0,75260.0,726110.0,,,,,,
VNM,2018-09-04,75780.0,75780.0,75200.0,75260.0,690780.0,,,,,,
VNM,2018-09-05,75920.0,75920.0,73090.0,73280.0,1250390.0,,,,,,
VNM,2018-09-06,73280.0,73800.0,71240.0,71300.0,1234110.0,,,,,,
VNM,2018-09-07,71240.0,74500.0,71240.0,74210.0,882130.0,,,,,,
VNM,2018-09-10,74440.0,74940.0,74340.0,74500.0,603870.0,,,,,,
VNM,2018-09-11,74440.0,77290.0,74440.0,77060.0,1533670.0,,,,,,
VNM,2018-09-12,77650.0,78700.0,77200.0,77290.0,1342390.0,,,,,,
VNM,2018-09-13,77060.0,77350.0,76360.0,77140.0,655170.0,,,,,,
VNM,2018-09-14,77140.0,78250.0,77140.0,77650.0,969270.0,,,,,,
VNM,2018-09-17,78250.0,79410.0,77830.0,79410.0,1148720.0,,,,,,
VNM,2018-09-18,79470.0,81040.0,78940.0,80570.0,1310670.0,,,,,,
VNM,2018-09-19,80570.0,80690.0,79930.0,80460.0,929630.0,,,,,,
VNM,2018-09-20,80110.0,80160.0,79410.0,79410.0,771520.0,,,,,,
VNM,2018-09-21,79410.0,80460.0,78760.0,80460.0,1840850.0,,,,,,
VNM,2018-09-24,80460.0,80460.0,79540.0,80000.0,639720.0,,,,,,
VNM,2018-09-25,80000.0,80040.0,79540.0,79930.0,480150.0,,,,,,
VNM,2018-09-26,79930.0,79930.0,79580.0,79690.0,418120.0,,,,,,
VNM,2018-09-27,80000.0,81750.0,79870.0,80870.0,980840.0,,,,,,
VNM,2018-09-28,80870.0,81090.0,80160.0,80160.0,520020.0,,,,,,
VNM,2018-10-01,79870.0,80000.0,79410.0,79580.0,514820.0,,,,,,
VNM,2018-10-02,78830.0,80350.0,78830.0,80000.0,581340.0,,,,,,
VNM,2018-10-03,80000.0,80040.0,79690.0,79930.0,701280.0,,,,,,
VNM,2018-10-04,79930.0,80000.0,79370.0,79930.0,304620.0,,,,,,
VNM,2018-10-05,79410.0,79470.0,78830.0,78940.0,519180.0,,,,,,
VNM,2018-10-08,78320.0,78640.0,77650.0,77650.0,566750.0,,,,,,
VNM,2018-10-09,77200.0,77650.0,76360.0,76430.0,660630.0,,,,,,
VNM,2018-10-10,76200.0,76430.0,75780.0,75920.0,636650.0,,,,,,
VNM,2018-10-11,71810.0,75320.0,71810.0,74140.0,1182360.0,,,,,,
VNM,2018-10-12,74140.0,75150.0,72750.0,75020.0,957810.0,,,,,,
VNM,2018-10-15,75320.0,75320.0,73340.0,73400.0,692180.0,,,,,,
VNM,2018-10-16,73570.0,73800.0,73090.0,73570.0,988520.0,,,,,,
VNM,2018-10-17,74440.0,74440.0,73740.0,74090.0,444290.0,,,,,,
VNM,2018-10-18,74090.0,74140.0,73520.0,73570.0,349110.0,,,,,,
VNM,2018-10-19,73040.0,74040.0,72470.0,74040.0,1087950.0,,,,,,
VNM,2018-10-22,73570.0,74040.0,73450.0,73450.0,316450.0,,,,,,
VNM,2018-10-23,73400.0,73400.0,71070.0,72110.0,1197220.0,,,,,,
VNM,2018-10-24,72110.0,72110.0,71180.0,71570.0,742160.0,,,,,,
VNM,2018-10-25,70070.0,70590.0,68370.0,70070.0,1154690.0,,,,,,
VNM,2018-10-26,71180.0,71240.0,70590.0,70940.0,643020.0,,,,,,
VNM,2018-10-29,70940.0,70940.0,69300.0,70070.0,488810.0,,,,,,
VNM,2018-10-30,70070.0,70070.0,68490.0,68490.0,535070.0,,,,,,
VNM,2018-10-31,68490.0,68910.0,66840.0,67790.0,1075800.0,,,,,,
VNM,2018-11-01,68310.0,68310.0,65110.0,66730.0,1724930.0,,,,,,
VNM,2018-11-02,66730.0,69360.0,66730.0,69180.0,1601100.0,,,,,,
VNM,2018-11-05,68370.0,68960.0,67080.0,68020.0,841100.0,,,,,,
VNM,2018-11-06,68020.0,69360.0,67440.0,68730.0,1599760.0,,,,,,
VNM,2018-11-07,68730.0,70350.0,68730.0,69770.0,1339350.0,,,,,,
VNM,2018-11-08,70530.0,70650.0,69770.0,70070.0,815890.0,,,,,,
VNM,2018-11-09,68910.0,69600.0,68260.0,68310.0,728150.0,,,,,,
VNM,2018-11-12,67320.0,68310.0,67210.0,68310.0,596940.0,,,,,,
VNM,2018-11-13,67260.0,68190.0,67030.0,67740.0,483810.0,,,,,,
VNM,2018-11-14,67740.0,69070.0,67620.0,68610.0,674260.0,,,,,,
VNM,2018-11-15,68610.0,68910.0,67140.0,68310.0,556360.0,,,,,,
VNM,2018-11-16,68310.0,68610.0,67140.0,67140.0,566540.0,,,,,,
VNM,2018-11-19,67740.0,67890.0,67080.0,67380.0,739450.0,,,,,,
VNM,2018-11-20,67380.0,68080.0,67320.0,68020.0,715090.0,,,,,,
VNM,2018-11-21,67740.0,69600.0,67560.0,69600.0,1113540.0,,,,,,
VNM,2018-11-22,69600.0,70230.0,69600.0,70140.0,933880.0,,,,,,
VNM,2018-11-23,70020.0,70020.0,68610.0,68910.0,416930.0,,,,,,
VNM,2018-11-26,69000.0,72050.0,68910.0,71880.0,1817580.0,,,,,,
