symbol,date,open,high,low,close,volume,"('date', '')","('open', 'VHM.VN')","('high', 'VHM.VN')","('low', 'VHM.VN')","('close', 'VHM.VN')","('volume', 'VHM.VN')"
VHM,2019-03-13,67390.0,69940.0,67390.0,68490.0,1654850.0,,,,,,
VHM,2019-03-14,68700.0,68920.0,67610.0,68490.0,708190.0,,,,,,
VHM,2019-03-15,68490.0,68490.0,67390.0,67980.0,2496760.0,,,,,,
VHM,2019-03-18,68490.0,69140.0,68490.0,68700.0,1056390.0,,,,,,
VHM,2019-03-19,69210.0,69360.0,68120.0,68490.0,1100900.0,,,,,,
VHM,2019-03-20,68050.0,68050.0,66300.0,67170.0,1061950.0,,,,,,
VHM,2019-03-21,67760.0,67760.0,64260.0,64260.0,1009930.0,,,,,,
VHM,2019-03-22,64920.0,66450.0,64110.0,66370.0,957080.0,,,,,,
VHM,2019-03-25,65209.0,65209.0,63750.0,64840.0,793070.0,,,,,,
VHM,2019-03-26,65570.0,66080.0,65209.0,65500.0,617980.0,,,,,,
VHM,2019-03-27,66300.0,66300.0,65500.0,65640.0,389620.0,,,,,,
VHM,2019-03-28,65790.0,67980.0,65570.0,67830.0,894540.0,,,,,,
VHM,2019-03-29,68490.0,68700.0,66660.0,66660.0,1054060.0,,,,,,
VHM,2019-04-01,67320.0,68340.0,66880.0,67320.0,334480.0,,,,,,
VHM,2019-04-02,68050.0,68270.0,67030.0,67170.0,359690.0,,,,,,
VHM,2019-04-03,67170.0,67170.0,66370.0,67030.0,281350.0,,,,,,
VHM,2019-04-04,67030.0,67610.0,66520.0,67030.0,489550.0,,,,,,
VHM,2019-04-05,67390.0,67900.0,67100.0,67470.0,454260.0,,,,,,
VHM,2019-04-08,67760.0,68920.0,67540.0,68920.0,657320.0,,,,,,
VHM,2019-04-09,69210.0,69940.0,67760.0,68340.0,973210.0,,,,,,
VHM,2019-04-10,68340.0,68340.0,67250.0,67390.0,328400.0,,,,,,
VHM,2019-04-11,67610.0,68340.0,67170.0,68120.0,233360.0,,,,,,
VHM,2019-04-12,68050.0,68190.0,67030.0,67980.0,299590.0,,,,,,
VHM,2019-04-16,65570.0,66960.0,63970.0,66300.0,913790.0,,,,,,
VHM,2019-04-17,66300.0,66960.0,65349.0,65430.0,761350.0,,,,,,
VHM,2019-04-18,65500.0,65940.0,64190.0,64840.0,609680.0,,,,,,
VHM,2019-04-19,64840.0,65860.0,64840.0,64840.0,258960.0,,,,,,
VHM,2019-04-22,65349.0,65570.0,64550.0,65570.0,211620.0,,,,,,
VHM,2019-04-23,65349.0,65570.0,64769.0,64840.0,494910.0,,,,,,
VHM,2019-04-24,65349.0,65720.0,65349.0,65349.0,629420.0,,,,,,
VHM,2019-04-25,65209.0,65720.0,65129.0,65720.0,680080.0,,,,,,
VHM,2019-04-26,65720.0,67030.0,65500.0,67030.0,1070350.0,,,,,,
VHM,2019-05-02,67030.0,67250.0,66230.0,66590.0,452510.0,,,,,,
VHM,2019-05-03,66880.0,66880.0,65860.0,65860.0,621150.0,,,,,,
VHM,2019-05-06,65570.0,65570.0,64550.0,64840.0,522550.0,,,,,,
VHM,2019-05-07,65430.0,65430.0,63900.0,64040.0,576290.0,,,,,,
VHM,2019-05-08,63390.0,63600.0,62220.0,62370.0,894240.0,,,,,,
VHM,2019-05-09,61930.0,62370.0,60910.0,61560.0,983320.0,,,,,,
VHM,2019-05-10,62370.0,62660.0,61050.0,61200.0,980260.0,,,,,,
VHM,2019-05-13,61050.0,62070.0,61050.0,61930.0,691670.0,,,,,,
VHM,2019-05-14,61200.0,62660.0,61200.0,61930.0,1322520.0,,,,,,
VHM,2019-05-15,62070.0,63020.0,62070.0,62660.0,1134300.0,,,,,,
VHM,2019-05-16,62660.0,63460.0,62440.0,63390.0,953330.0,,,,,,
VHM,2019-05-17,63390.0,63390.0,62880.0,63170.0,791790.0,,,,,,
VHM,2019-05-20,63020.0,63240.0,62510.0,63240.0,638340.0,,,,,,
VHM,2019-05-21,64040.0,64190.0,63170.0,63170.0,1056700.0,,,,,,
VHM,2019-05-22,63020.0,64040.0,62800.0,63020.0,702510.0,,,,,,
VHM,2019-05-23,63090.0,63090.0,62730.0,63020.0,377180.0,,,,,,
VHM,2019-05-24,63170.0,63170.0,61560.0,61560.0,854870.0,,,,,,
VHM,2019-05-27,61560.0,61860.0,61490.0,61490.0,487560.0,,,,,,
VHM,2019-05-28,61490.0,61640.0,60840.0,60840.0,1436600.0,,,,,,
VHM,2019-05-29,61200.0,61350.0,60760.0,60910.0,921510.0,,,,,,
VHM,2019-05-30,60910.0,61050.0,60110.0,60180.0,930290.0,,,,,,
VHM,2019-05-31,60620.0,60620.0,59010.0,59740.0,720930.0,,,,,,
VHM,2019-06-03,59740.0,59740.0,57990.0,58720.0,527220.0,,,,,,
VHM,2019-06-04,58650.0,59010.0,57480.0,58720.0,557890.0,,,,,,
VHM,2019-06-05,59160.0,59380.0,58500.0,58720.0,452630.0,,,,,,
VHM,2019-06-06,58650.0,58870.0,57480.0,58500.0,582690.0,,,,,,
VHM,2019-06-07,58650.0,60470.0,58210.0,59890.0,572380.0,,,,,,
VHM,2019-06-10,60470.0,60470.0,59310.0,59740.0,596360.0,,,,,,
VHM,2019-06-11,59740.0,59740.0,59230.0,59670.0,375370.0,,,,,,
VHM,2019-06-12,59380.0,59380.0,57920.0,58290.0,893930.0,,,,,,
VHM,2019-06-13,57920.0,58290.0,55810.0,58290.0,2022580.0,,,,,,
VHM,2019-06-14,57410.0,58210.0,57270.0,58210.0,482820.0,,,,,,
VHM,2019-06-17,58210.0,58210.0,56540.0,56830.0,458320.0,,,,,,
VHM,2019-06-18,56680.0,56830.0,55590.0,56830.0,1640620.0,,,,,,
VHM,2019-06-19,56900.0,57050.0,56680.0,56900.0,729570.0,,,,,,
VHM,2019-06-20,57120.0,57480.0,56830.0,57120.0,1561250.0,,,,,,
VHM,2019-06-21,57190.0,57780.0,57190.0,57190.0,3742200.0,,,,,,
VHM,2019-06-24,57270.0,58580.0,57270.0,57920.0,1452270.0,,,,,,
VHM,2019-06-25,58140.0,58360.0,57920.0,57920.0,866490.0,,,,,,
VHM,2019-06-26,57780.0,57990.0,57340.0,57560.0,1174210.0,,,,,,
VHM,2019-06-27,57560.0,57560.0,56460.0,56460.0,815110.0,,,,,,
VHM,2019-06-28,55810.0,57920.0,55740.0,57780.0,928700.0,,,,,,
VHM,2019-07-01,57920.0,59010.0,57780.0,59010.0,1090570.0,,,,,,
VHM,2019-07-02,59010.0,59160.0,58290.0,59090.0,1087630.0,,,,,,
VHM,2019-07-03,58720.0,59740.0,58360.0,59740.0,1517660.0,,,,,,
VHM,2019-07-04,59740.0,61930.0,59670.0,61930.0,2075630.0,,,,,,
VHM,2019-07-05,61350.0,62660.0,60840.0,62660.0,1234430.0,,,,,,
VHM,2019-07-08,61930.0,62070.0,60470.0,60470.0,666020.0,,,,,,
VHM,2019-07-09,60470.0,61050.0,60110.0,60540.0,579540.0,,,,,,
VHM,2019-07-10,60540.0,61050.0,60540.0,60760.0,321230.0,,,,,,
VHM,2019-07-11,60980.0,61130.0,60540.0,60540.0,392510.0,,,,,,
VHM,2019-07-12,60540.0,60980.0,60030.0,60540.0,626820.0,,,,,,
VHM,2019-07-15,60540.0,60470.0,59230.0,59740.0,713050.0,,,,,,
VHM,2019-07-16,59740.0,61200.0,59740.0,61130.0,833350.0,,,,,,
VHM,2019-07-17,61130.0,62290.0,61130.0,61200.0,816530.0,,,,,,
